index,Year,Mileage(miles),Engine,PS,Transmission,Fuel,Number_of_Owners,Price(£),href,PPY,MileageRank,PriceRank,PPYRank,Score
672,2014,28000,1.4L,122,1,0,2,12695,https://www.autotrader.co.uk/car-details/202212092412773?onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2012&make=Audi&radius=1500&model=A1&year-to=2022&include-delivery-option=on&postcode=br49jd&advertising-location=at_cars&exclude-writeoff-categories=on&sort=relevance&page=68,6347.5,329,226,2,557
673,2014,81500,1.2L,84.81262327,1,0,2,7495,https://www.autotrader.co.uk/car-details/202211272055244?onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2012&make=Audi&radius=1500&model=A1&year-to=2022&include-delivery-option=on&postcode=br49jd&advertising-location=at_cars&exclude-writeoff-categories=on&sort=relevance&page=68,3747.5,43,448,80,571
676,2021,22500,1.0L,108.4812623,0,0,1,23000,https://www.autotrader.co.uk/car-details/202209300274399?include-delivery-option=on&model=A1&radius=1500&postcode=br49jd&exclude-writeoff-categories=on&make=Audi&sort=relevance&advertising-location=at_cars&year-to=2022&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2012&page=69,2555.555556,363,23,321,707
678,2022,16555,1.0L,108.4812623,1,0,1,20490,https://www.autotrader.co.uk/car-details/202210210945873?include-delivery-option=on&model=A1&radius=1500&postcode=br49jd&exclude-writeoff-categories=on&make=Audi&sort=relevance&advertising-location=at_cars&year-to=2022&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2012&page=69,2049,405,51,453,909
679,2014,77669,1.2L,84.81262327,1,0,2,7490,https://www.autotrader.co.uk/car-details/202212012182135?include-delivery-option=on&model=A1&radius=1500&postcode=br49jd&exclude-writeoff-categories=on&make=Audi&sort=relevance&advertising-location=at_cars&year-to=2022&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2012&page=69,3745,54,450,82,586
680,2019,23390,1.0L,114.3984221,1,0,1,19610,https://www.autotrader.co.uk/car-details/202212012168743?include-delivery-option=on&model=A1&radius=1500&postcode=br49jd&exclude-writeoff-categories=on&make=Audi&sort=relevance&advertising-location=at_cars&year-to=2022&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2012&page=69,2801.428571,360,68,234,662
681,2016,96000,1.0L,93.68836292,1,0,2,7990,https://www.autotrader.co.uk/car-details/202212162569942?include-delivery-option=on&model=A1&radius=1500&postcode=br49jd&exclude-writeoff-categories=on&make=Audi&sort=relevance&advertising-location=at_cars&year-to=2022&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2012&page=69,1997.5,25,438,458,921
682,2021,21555,1.0L,108.4812623,0,0,1,23390,https://www.autotrader.co.uk/car-details/202208138744002?include-delivery-option=on&model=A1&radius=1500&postcode=br49jd&exclude-writeoff-categories=on&make=Audi&sort=relevance&advertising-location=at_cars&year-to=2022&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2012&page=69,2598.888889,370,22,306,698
687,2020,4050,1.0L,93.68836292,1,0,1,17990,https://www.autotrader.co.uk/car-details/202210281163514?exclude-writeoff-categories=on&year-from=2012&make=Audi&radius=1500&advertising-location=at_cars&year-to=2022&include-delivery-option=on&model=A1&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=br49jd&sort=relevance&page=70,2248.75,457,105,415,977
688,2022,5008,1.5L,147.9289941,0,0,1,26900,https://www.autotrader.co.uk/car-details/202208108653141?exclude-writeoff-categories=on&year-from=2012&make=Audi&radius=1500&advertising-location=at_cars&year-to=2022&include-delivery-option=on&model=A1&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=br49jd&sort=relevance&page=70,2690,455,6,275,736
689,2015,55626,1.4L,123.2741617,1,0,2,9995,https://www.autotrader.co.uk/car-details/202211111583182?exclude-writeoff-categories=on&year-from=2012&make=Audi&radius=1500&advertising-location=at_cars&year-to=2022&include-delivery-option=on&model=A1&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=br49jd&sort=relevance&page=70,3331.666667,144,361,124,629
691,2014,46400,1.2L,84.81262327,1,0,3,10995,https://www.autotrader.co.uk/car-details/202211292108743?exclude-writeoff-categories=on&year-from=2012&make=Audi&radius=1500&advertising-location=at_cars&year-to=2022&include-delivery-option=on&model=A1&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=br49jd&sort=relevance&page=70,5497.5,199,318,17,534
692,2016,44000,1.0L,93.68836292,1,0,1,10495,https://www.autotrader.co.uk/car-details/202212172583589?exclude-writeoff-categories=on&year-from=2012&make=Audi&radius=1500&advertising-location=at_cars&year-to=2022&include-delivery-option=on&model=A1&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=br49jd&sort=relevance&page=70,2623.75,212,341,296,849
693,2017,52000,1.0L,93,1,0,1,11495,https://www.autotrader.co.uk/car-details/202211161740609?exclude-writeoff-categories=on&year-from=2012&make=Audi&radius=1500&advertising-location=at_cars&year-to=2022&include-delivery-option=on&model=A1&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=br49jd&sort=relevance&page=70,2299,166,284,405,855
694,2017,37735,1.6L,114.3984221,1,1,2,13980,https://www.autotrader.co.uk/car-details/202212182600605?exclude-writeoff-categories=on&year-from=2012&make=Audi&radius=1500&advertising-location=at_cars&year-to=2022&include-delivery-option=on&model=A1&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=br49jd&sort=relevance&page=70,2796,256,197,238,691
